,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,Discontinued,UnitsInStock,NotInStock,Price
0,10248/11,10248,11,14.0,12,0.0,0,22,0,168.0
1,10248/42,10248,42,9.8,10,0.0,1,26,1,98.0
2,10248/72,10248,72,34.8,5,0.0,0,14,0,174.0
3,10249/14,10249,14,18.6,9,0.0,0,35,0,167.4
4,10249/51,10249,51,42.4,40,0.0,0,20,0,1696.0
5,10250/41,10250,41,7.7,10,0.0,0,85,0,77.0
6,10250/51,10250,51,42.4,35,0.15,0,20,0,1261.3999999999999
7,10250/65,10250,65,16.8,15,0.15,0,76,0,214.2
8,10251/22,10251,22,16.8,6,0.05,0,104,0,95.75999999999999
9,10251/57,10251,57,15.6,15,0.05,0,36,0,222.29999999999998
10,10251/65,10251,65,16.8,20,0.0,0,76,0,336.0
11,10252/20,10252,20,64.8,40,0.05,0,40,0,2462.3999999999996
12,10252/33,10252,33,2.0,25,0.05,0,112,0,47.5
13,10252/60,10252,60,27.2,40,0.0,0,19,0,1088.0
14,10253/31,10253,31,10.0,20,0.0,0,0,1,200.0
15,10253/39,10253,39,14.4,42,0.0,0,69,0,604.8000000000001
16,10253/49,10253,49,16.0,40,0.0,0,10,0,640.0
17,10254/24,10254,24,3.6,15,0.15,1,20,1,45.9
18,10254/55,10254,55,19.2,21,0.15,0,115,0,342.72
19,10254/74,10254,74,8.0,21,0.0,0,4,0,168.0
20,10255/2,10255,2,15.2,20,0.0,0,17,0,304.0
21,10255/16,10255,16,13.9,35,0.0,0,29,0,486.5
22,10255/36,10255,36,15.2,25,0.0,0,112,0,380.0
23,10255/59,10255,59,44.0,30,0.0,0,79,0,1320.0
24,10256/53,10256,53,26.2,15,0.0,1,0,1,393.0
25,10256/77,10256,77,10.4,12,0.0,0,32,0,124.80000000000001
26,10257/27,10257,27,35.1,25,0.0,0,49,0,877.5
27,10257/39,10257,39,14.4,6,0.0,0,69,0,86.4
28,10257/77,10257,77,10.4,15,0.0,0,32,0,156.0
29,10258/2,10258,2,15.2,50,0.2,0,17,0,608.0
30,10258/5,10258,5,17.0,65,0.2,1,0,1,884.0000000000001
31,10258/32,10258,32,25.6,6,0.2,0,9,0,122.88000000000002
32,10259/21,10259,21,8.0,10,0.0,0,3,0,80.0
33,10259/37,10259,37,20.8,1,0.0,0,11,0,20.8
34,10260/41,10260,41,7.7,16,0.25,0,85,0,92.4
35,10260/57,10260,57,15.6,50,0.0,0,36,0,780.0
36,10260/62,10260,62,39.4,15,0.25,0,17,0,443.24999999999994
37,10260/70,10260,70,12.0,21,0.25,0,15,0,189.0
38,10261/21,10261,21,8.0,20,0.0,0,3,0,160.0
39,10261/35,10261,35,14.4,20,0.0,0,20,0,288.0
40,10262/5,10262,5,17.0,12,0.2,1,0,1,163.20000000000002
41,10262/7,10262,7,24.0,15,0.0,0,15,0,360.0
42,10262/56,10262,56,30.4,2,0.0,0,21,0,60.8
43,10263/16,10263,16,13.9,60,0.25,0,29,0,625.5
44,10263/24,10263,24,3.6,28,0.0,1,20,1,100.8
45,10263/30,10263,30,20.7,60,0.25,0,10,0,931.4999999999999
46,10263/74,10263,74,8.0,36,0.25,0,4,0,216.0
47,10264/2,10264,2,15.2,35,0.0,0,17,0,532.0
48,10264/41,10264,41,7.7,25,0.15,0,85,0,163.625
49,10265/17,10265,17,31.2,30,0.0,1,0,1,936.0
50,10265/70,10265,70,12.0,20,0.0,0,15,0,240.0
51,10266/12,10266,12,30.4,12,0.05,0,86,0,346.56
52,10267/40,10267,40,14.7,50,0.0,0,123,0,735.0
53,10267/59,10267,59,44.0,70,0.15,0,79,0,2618.0
54,10267/76,10267,76,14.4,15,0.15,0,57,0,183.6
55,10268/29,10268,29,99.0,10,0.0,1,0,1,990.0
56,10268/72,10268,72,27.8,4,0.0,0,14,0,111.2
57,10269/33,10269,33,2.0,60,0.05,0,112,0,114.0
58,10269/72,10269,72,27.8,20,0.05,0,14,0,528.2
59,10270/36,10270,36,15.2,30,0.0,0,112,0,456.0
60,10270/43,10270,43,36.8,25,0.0,0,17,0,919.9999999999999
61,10271/33,10271,33,2.0,24,0.0,0,112,0,48.0
62,10272/20,10272,20,64.8,6,0.0,0,40,0,388.79999999999995
63,10272/31,10272,31,10.0,40,0.0,0,0,1,400.0
64,10272/72,10272,72,27.8,24,0.0,0,14,0,667.2
65,10273/10,10273,10,24.8,24,0.05,0,31,0,565.4399999999999
66,10273/31,10273,31,10.0,15,0.05,0,0,1,142.5
67,10273/33,10273,33,2.0,20,0.0,0,112,0,40.0
68,10273/40,10273,40,14.7,60,0.05,0,123,0,837.8999999999999
69,10273/76,10273,76,14.4,33,0.05,0,57,0,451.44
70,10274/71,10274,71,17.2,20,0.0,0,26,0,344.0
71,10274/72,10274,72,27.8,7,0.0,0,14,0,194.6
72,10275/24,10275,24,3.6,12,0.05,1,20,1,41.04
73,10275/59,10275,59,44.0,6,0.05,0,79,0,250.79999999999998
74,10276/10,10276,10,24.8,15,0.0,0,31,0,372.0
75,10276/13,10276,13,4.8,10,0.0,0,24,0,48.0
76,10277/28,10277,28,36.4,20,0.0,1,26,1,728.0
77,10277/62,10277,62,39.4,12,0.0,0,17,0,472.79999999999995
78,10278/44,10278,44,15.5,16,0.0,0,27,0,248.0
79,10278/59,10278,59,44.0,15,0.0,0,79,0,660.0
80,10278/63,10278,63,35.1,8,0.0,0,24,0,280.8
81,10278/73,10278,73,12.0,25,0.0,0,101,0,300.0
82,10279/17,10279,17,31.2,15,0.25,1,0,1,351.0
83,10280/24,10280,24,3.6,12,0.0,1,20,1,43.2
84,10280/55,10280,55,19.2,20,0.0,0,115,0,384.0
85,10280/75,10280,75,6.2,30,0.0,0,125,0,186.0
86,10281/19,10281,19,7.3,1,0.0,0,25,0,7.3
87,10281/24,10281,24,3.6,6,0.0,1,20,1,21.6
88,10281/35,10281,35,14.4,4,0.0,0,20,0,57.6
89,10282/30,10282,30,20.7,6,0.0,0,10,0,124.19999999999999
90,10282/57,10282,57,15.6,2,0.0,0,36,0,31.2
91,10283/15,10283,15,12.4,20,0.0,0,39,0,248.0
92,10283/19,10283,19,7.3,18,0.0,0,25,0,131.4
93,10283/60,10283,60,27.2,35,0.0,0,19,0,952.0
94,10283/72,10283,72,27.8,3,0.0,0,14,0,83.4
95,10284/27,10284,27,35.1,15,0.25,0,49,0,394.87500000000006
96,10284/44,10284,44,15.5,21,0.0,0,27,0,325.5
97,10284/60,10284,60,27.2,20,0.25,0,19,0,408.0
98,10284/67,10284,67,11.2,5,0.25,0,52,0,41.99999999999999
99,10285/1,10285,1,14.4,45,0.2,0,39,0,518.4000000000001
100,10285/40,10285,40,14.7,40,0.2,0,123,0,470.4
101,10285/53,10285,53,26.2,36,0.2,1,0,1,754.5600000000001
102,10286/35,10286,35,14.4,100,0.0,0,20,0,1440.0
103,10286/62,10286,62,39.4,40,0.0,0,17,0,1576.0
104,10287/16,10287,16,13.9,40,0.15,0,29,0,472.59999999999997
105,10287/34,10287,34,11.2,20,0.0,0,111,0,224.0
106,10287/46,10287,46,9.6,15,0.15,0,95,0,122.4
107,10288/54,10288,54,5.9,10,0.1,0,21,0,53.10000000000001
108,10288/68,10288,68,10.0,3,0.1,0,6,0,27.0
109,10289/3,10289,3,8.0,30,0.0,0,13,0,240.0
110,10289/64,10289,64,26.6,9,0.0,0,22,0,239.4
111,10290/5,10290,5,17.0,20,0.0,1,0,1,340.0
112,10290/29,10290,29,99.0,15,0.0,1,0,1,1485.0
113,10290/49,10290,49,16.0,15,0.0,0,10,0,240.0
114,10290/77,10290,77,10.4,10,0.0,0,32,0,104.0
115,10291/13,10291,13,4.8,20,0.1,0,24,0,86.4
116,10291/44,10291,44,15.5,24,0.1,0,27,0,334.8
117,10291/51,10291,51,42.4,2,0.1,0,20,0,76.32
118,10292/20,10292,20,64.8,20,0.0,0,40,0,1296.0
119,10293/18,10293,18,50.0,12,0.0,0,42,0,600.0
120,10293/24,10293,24,3.6,10,0.0,1,20,1,36.0
121,10293/63,10293,63,35.1,5,0.0,0,24,0,175.5
122,10293/75,10293,75,6.2,6,0.0,0,125,0,37.2
123,10294/1,10294,1,14.4,18,0.0,0,39,0,259.2
124,10294/17,10294,17,31.2,15,0.0,1,0,1,468.0
125,10294/43,10294,43,36.8,15,0.0,0,17,0,552.0
126,10294/60,10294,60,27.2,21,0.0,0,19,0,571.1999999999999
127,10294/75,10294,75,6.2,6,0.0,0,125,0,37.2
128,10295/56,10295,56,30.4,4,0.0,0,21,0,121.6
129,10296/11,10296,11,16.8,12,0.0,0,22,0,201.60000000000002
130,10296/16,10296,16,13.9,30,0.0,0,29,0,417.0
131,10296/69,10296,69,28.8,15,0.0,0,26,0,432.0
132,10297/39,10297,39,14.4,60,0.0,0,69,0,864.0
133,10297/72,10297,72,27.8,20,0.0,0,14,0,556.0
134,10298/2,10298,2,15.2,40,0.0,0,17,0,608.0
135,10298/36,10298,36,15.2,40,0.25,0,112,0,455.99999999999994
136,10298/59,10298,59,44.0,30,0.25,0,79,0,990.0
137,10298/62,10298,62,39.4,15,0.0,0,17,0,591.0
138,10299/19,10299,19,7.3,15,0.0,0,25,0,109.5
139,10299/70,10299,70,12.0,20,0.0,0,15,0,240.0
140,10300/66,10300,66,13.6,30,0.0,0,4,0,408.0
141,10300/68,10300,68,10.0,20,0.0,0,6,0,200.0
142,10301/40,10301,40,14.7,10,0.0,0,123,0,147.0
143,10301/56,10301,56,30.4,20,0.0,0,21,0,608.0
144,10302/17,10302,17,31.2,40,0.0,1,0,1,1248.0
145,10302/28,10302,28,36.4,28,0.0,1,26,1,1019.1999999999999
146,10302/43,10302,43,36.8,12,0.0,0,17,0,441.59999999999997
147,10303/40,10303,40,14.7,40,0.1,0,123,0,529.2
148,10303/65,10303,65,16.8,30,0.1,0,76,0,453.6
149,10303/68,10303,68,10.0,15,0.1,0,6,0,135.0
150,10304/49,10304,49,16.0,30,0.0,0,10,0,480.0
151,10304/59,10304,59,44.0,10,0.0,0,79,0,440.0
152,10304/71,10304,71,17.2,2,0.0,0,26,0,34.4
